CustomerKey,RegionKey,HomeCountry,MacroRegion,Segment,AcquisitionChannel,JoinDate,TenureBucket,IsLoyaltyMember
6901,2,Spain,EMEA,Collector,Direct,2021-11-18,2+ years,0
6902,1,United Kingdom,EMEA,Hardcore Fan,Paid Social,2021-10-30,2+ years,0
6903,1,United Kingdom,EMEA,Casual Fan,App Store,2025-02-07,6-12 months,1
6904,5,Brazil,Americas,Hardcore Fan,Organic Search,2023-04-24,2+ years,0
6905,2,Spain,EMEA,Collector,Email,2022-06-08,2+ years,1
6906,1,United Kingdom,EMEA,Hardcore Fan,App Store,2022-03-27,2+ years,1
6907,2,Spain,EMEA,Casual Fan,Email,2022-06-22,2+ years,0
6908,6,Mexico,Americas,Hardcore Fan,Paid Social,2025-10-09,0-6 months,0
6909,7,Japan,APAC,Casual Fan,App Store,2022-02-15,2+ years,1
6910,4,United States,Americas,Hardcore Fan,Email,2025-03-03,6-12 months,0
6911,3,Germany,EMEA,Casual Fan,Direct,2021-04-19,2+ years,1
6912,8,Australia,APAC,Collector,App Store,2024-04-01,1-2 years,0
6913,2,Spain,EMEA,Hardcore Fan,Organic Search,2023-11-03,2+ years,0
6914,2,Spain,EMEA,Casual Fan,Direct,2024-02-25,1-2 years,0
6915,2,Spain,EMEA,Hardcore Fan,Direct,2023-01-28,2+ years,1
6916,1,United Kingdom,EMEA,Casual Fan,Email,2023-04-04,2+ years,0
6917,3,Germany,EMEA,Casual Fan,Direct,2025-11-27,0-6 months,1
6918,7,Japan,APAC,Casual Fan,Influencer,2022-03-29,2+ years,0
6919,4,United States,Americas,Casual Fan,Paid Social,2021-06-20,2+ years,0
6920,3,Germany,EMEA,Collector,Paid Social,2024-05-17,1-2 years,1
6921,7,Japan,APAC,Casual Fan,Organic Search,2023-02-01,2+ years,1
6922,1,United Kingdom,EMEA,Hardcore Fan,App Store,2021-12-05,2+ years,1
6923,2,Spain,EMEA,Casual Fan,Organic Search,2021-02-28,2+ years,1
6924,4,United States,Americas,Hardcore Fan,Email,2022-05-22,2+ years,0
6925,4,United States,Americas,Hardcore Fan,Email,2024-07-15,1-2 years,0
6926,1,United Kingdom,EMEA,Casual Fan,Organic Search,2022-04-25,2+ years,0
6927,3,Germany,EMEA,Collector,Email,2022-10-31,2+ years,1
6928,5,Brazil,Americas,Casual Fan,Paid Social,2025-03-21,6-12 months,0
6929,5,Brazil,Americas,Hardcore Fan,Influencer,2023-08-03,2+ years,1
6930,5,Brazil,Americas,Casual Fan,Influencer,2023-10-21,2+ years,1
6931,2,Spain,EMEA,Casual Fan,Email,2022-03-24,2+ years,0
6932,1,United Kingdom,EMEA,Collector,Email,2023-06-02,2+ years,1
6933,3,Germany,EMEA,Hardcore Fan,Organic Search,2025-04-28,6-12 months,0
6934,1,United Kingdom,EMEA,Casual Fan,Paid Social,2025-05-21,6-12 months,0
6935,8,Australia,APAC,Collector,Email,2024-03-03,1-2 years,0
6936,3,Germany,EMEA,Casual Fan,Email,2021-08-01,2+ years,1
6937,2,Spain,EMEA,Hardcore Fan,Email,2021-04-09,2+ years,1
6938,6,Mexico,Americas,Casual Fan,Organic Search,2024-07-18,1-2 years,0
6939,4,United States,Americas,Hardcore Fan,Organic Search,2022-10-20,2+ years,1
6940,2,Spain,EMEA,Casual Fan,Email,2023-12-09,2+ years,0
6941,6,Mexico,Americas,Casual Fan,Paid Social,2021-06-24,2+ years,0
6942,7,Japan,APAC,Collector,Organic Search,2025-03-18,6-12 months,0
6943,5,Brazil,Americas,Casual Fan,Direct,2023-06-20,2+ years,0
6944,1,United Kingdom,EMEA,Casual Fan,Organic Search,2023-03-16,2+ years,0
6945,4,United States,Americas,Casual Fan,Organic Search,2022-05-04,2+ years,0
6946,6,Mexico,Americas,Casual Fan,Direct,2023-10-27,2+ years,0
6947,1,United Kingdom,EMEA,Casual Fan,Organic Search,2025-11-14,0-6 months,0
6948,2,Spain,EMEA,Casual Fan,Organic Search,2022-07-08,2+ years,0
6949,7,Japan,APAC,Casual Fan,Organic Search,2024-08-23,1-2 years,1
6950,1,United Kingdom,EMEA,Hardcore Fan,App Store,2025-01-30,6-12 months,0
6951,6,Mexico,Americas,Hardcore Fan,Organic Search,2022-06-12,2+ years,1
6952,3,Germany,EMEA,Collector,Influencer,2025-10-06,0-6 months,1
6953,3,Germany,EMEA,Hardcore Fan,Influencer,2022-12-29,2+ years,0
6954,1,United Kingdom,EMEA,Casual Fan,Influencer,2021-03-14,2+ years,0
6955,6,Mexico,Americas,Casual Fan,Direct,2021-03-08,2+ years,1
6956,2,Spain,EMEA,Hardcore Fan,Organic Search,2022-08-16,2+ years,1
6957,4,United States,Americas,Hardcore Fan,Influencer,2025-04-15,6-12 months,0
6958,5,Brazil,Americas,Casual Fan,Direct,2021-01-27,2+ years,0
6959,5,Brazil,Americas,Casual Fan,Direct,2025-06-12,6-12 months,0
6960,8,Australia,APAC,Hardcore Fan,Direct,2024-12-20,1-2 years,0
6961,4,United States,Americas,Hardcore Fan,Organic Search,2022-07-30,2+ years,0
6962,3,Germany,EMEA,Hardcore Fan,Paid Social,2022-03-10,2+ years,1
6963,8,Australia,APAC,Casual Fan,App Store,2024-11-15,1-2 years,0
6964,5,Brazil,Americas,Hardcore Fan,App Store,2024-09-14,1-2 years,1
6965,2,Spain,EMEA,Hardcore Fan,Paid Social,2025-08-07,0-6 months,1
6966,1,United Kingdom,EMEA,Collector,App Store,2021-02-25,2+ years,1
6967,7,Japan,APAC,Hardcore Fan,Organic Search,2021-09-24,2+ years,1
6968,3,Germany,EMEA,Hardcore Fan,Paid Social,2024-11-17,1-2 years,0
6969,5,Brazil,Americas,Hardcore Fan,Email,2023-02-08,2+ years,1
6970,3,Germany,EMEA,Casual Fan,Direct,2025-04-20,6-12 months,1
6971,1,United Kingdom,EMEA,Casual Fan,Influencer,2025-06-08,6-12 months,0
6972,4,United States,Americas,Collector,Direct,2024-04-17,1-2 years,0
6973,1,United Kingdom,EMEA,Casual Fan,Direct,2025-12-05,0-6 months,0
6974,3,Germany,EMEA,Hardcore Fan,App Store,2025-05-26,6-12 months,1
6975,4,United States,Americas,Collector,Direct,2022-07-03,2+ years,0
6976,3,Germany,EMEA,Collector,Organic Search,2021-04-11,2+ years,1
6977,6,Mexico,Americas,Hardcore Fan,Direct,2025-01-31,6-12 months,1
6978,7,Japan,APAC,Casual Fan,Direct,2022-10-07,2+ years,0
6979,6,Mexico,Americas,Casual Fan,App Store,2024-05-12,1-2 years,0
6980,1,United Kingdom,EMEA,Collector,Email,2024-07-24,1-2 years,0
6981,1,United Kingdom,EMEA,Casual Fan,Organic Search,2022-04-13,2+ years,0
6982,4,United States,Americas,Collector,Organic Search,2025-03-21,6-12 months,1
6983,7,Japan,APAC,Casual Fan,App Store,2021-01-23,2+ years,1
6984,7,Japan,APAC,Hardcore Fan,App Store,2022-11-28,2+ years,1
6985,7,Japan,APAC,Casual Fan,Paid Social,2021-11-23,2+ years,0
6986,2,Spain,EMEA,Casual Fan,Direct,2022-07-31,2+ years,1
6987,3,Germany,EMEA,Collector,Email,2023-07-10,2+ years,1
6988,3,Germany,EMEA,Hardcore Fan,Direct,2022-10-21,2+ years,1
6989,1,United Kingdom,EMEA,Casual Fan,Organic Search,2025-11-29,0-6 months,1
6990,1,United Kingdom,EMEA,Casual Fan,App Store,2022-06-21,2+ years,0
6991,8,Australia,APAC,Hardcore Fan,Email,2022-01-15,2+ years,0
6992,2,Spain,EMEA,Casual Fan,Influencer,2023-04-30,2+ years,1
6993,2,Spain,EMEA,Hardcore Fan,Email,2021-05-06,2+ years,1
6994,1,United Kingdom,EMEA,Casual Fan,App Store,2025-08-22,0-6 months,0
6995,7,Japan,APAC,Casual Fan,Direct,2022-03-18,2+ years,1
6996,4,United States,Americas,Casual Fan,Paid Social,2023-04-09,2+ years,1
6997,5,Brazil,Americas,Casual Fan,Email,2021-02-13,2+ years,0
6998,7,Japan,APAC,Casual Fan,Influencer,2025-12-06,0-6 months,0
6999,2,Spain,EMEA,Collector,Paid Social,2022-10-23,2+ years,0
7000,5,Brazil,Americas,Casual Fan,Influencer,2025-09-14,0-6 months,1
7001,1,United Kingdom,EMEA,Casual Fan,Direct,2024-10-14,1-2 years,1
7002,1,United Kingdom,EMEA,Casual Fan,Organic Search,2021-07-18,2+ years,0
7003,7,Japan,APAC,Hardcore Fan,App Store,2025-08-04,0-6 months,0
7004,6,Mexico,Americas,Hardcore Fan,Email,2025-10-14,0-6 months,0
7005,2,Spain,EMEA,Hardcore Fan,App Store,2022-10-15,2+ years,1
7006,3,Germany,EMEA,Casual Fan,Organic Search,2021-11-04,2+ years,0
7007,4,United States,Americas,Hardcore Fan,App Store,2025-12-25,0-6 months,1
7008,1,United Kingdom,EMEA,Hardcore Fan,Influencer,2024-10-12,1-2 years,0
7009,2,Spain,EMEA,Casual Fan,Direct,2024-01-18,1-2 years,0
7010,2,Spain,EMEA,Casual Fan,Direct,2024-04-12,1-2 years,0
7011,2,Spain,EMEA,Hardcore Fan,Direct,2025-09-08,0-6 months,0
7012,6,Mexico,Americas,Casual Fan,Influencer,2024-10-20,1-2 years,0
7013,2,Spain,EMEA,Casual Fan,App Store,2022-04-19,2+ years,0
7014,1,United Kingdom,EMEA,Casual Fan,Email,2021-08-24,2+ years,0
7015,4,United States,Americas,Casual Fan,Direct,2021-08-13,2+ years,1
7016,7,Japan,APAC,Casual Fan,Organic Search,2021-12-26,2+ years,1
7017,2,Spain,EMEA,Hardcore Fan,Email,2022-02-28,2+ years,1
7018,1,United Kingdom,EMEA,Collector,Organic Search,2023-10-12,2+ years,0
7019,2,Spain,EMEA,Hardcore Fan,Organic Search,2023-12-14,2+ years,1
7020,6,Mexico,Americas,Casual Fan,Direct,2022-10-29,2+ years,0
7021,4,United States,Americas,Hardcore Fan,Paid Social,2021-12-01,2+ years,0
7022,6,Mexico,Americas,Hardcore Fan,App Store,2023-06-18,2+ years,0
7023,8,Australia,APAC,Casual Fan,Email,2022-08-28,2+ years,0
7024,6,Mexico,Americas,Hardcore Fan,Influencer,2021-04-05,2+ years,1
7025,4,United States,Americas,Hardcore Fan,Email,2021-11-11,2+ years,0
7026,4,United States,Americas,Casual Fan,Influencer,2022-05-03,2+ years,1
7027,1,United Kingdom,EMEA,Casual Fan,App Store,2024-10-30,1-2 years,0
7028,8,Australia,APAC,Casual Fan,Email,2023-06-07,2+ years,0
7029,3,Germany,EMEA,Collector,App Store,2023-11-08,2+ years,0
7030,1,United Kingdom,EMEA,Casual Fan,Paid Social,2022-10-26,2+ years,0
7031,5,Brazil,Americas,Casual Fan,Paid Social,2023-04-09,2+ years,1
7032,2,Spain,EMEA,Casual Fan,Email,2022-09-29,2+ years,0
7033,4,United States,Americas,Hardcore Fan,Direct,2023-06-05,2+ years,0
7034,4,United States,Americas,Casual Fan,Email,2023-08-11,2+ years,1
7035,3,Germany,EMEA,Hardcore Fan,Organic Search,2022-11-18,2+ years,1
7036,7,Japan,APAC,Hardcore Fan,Organic Search,2021-08-09,2+ years,1
7037,2,Spain,EMEA,Hardcore Fan,App Store,2023-05-30,2+ years,1
7038,3,Germany,EMEA,Hardcore Fan,Direct,2024-12-15,1-2 years,0
7039,4,United States,Americas,Casual Fan,Organic Search,2021-02-06,2+ years,1
7040,5,Brazil,Americas,Collector,App Store,2024-09-14,1-2 years,1
7041,6,Mexico,Americas,Hardcore Fan,Direct,2025-08-21,0-6 months,1
7042,3,Germany,EMEA,Collector,Influencer,2024-03-12,1-2 years,0
7043,5,Brazil,Americas,Hardcore Fan,Email,2025-11-03,0-6 months,1
7044,1,United Kingdom,EMEA,Hardcore Fan,Direct,2023-08-30,2+ years,1
7045,7,Japan,APAC,Casual Fan,Direct,2024-10-27,1-2 years,0
7046,3,Germany,EMEA,Casual Fan,Direct,2025-02-21,6-12 months,0
7047,5,Brazil,Americas,Casual Fan,Paid Social,2024-08-19,1-2 years,0
7048,1,United Kingdom,EMEA,Casual Fan,Email,2025-05-02,6-12 months,0
7049,2,Spain,EMEA,Hardcore Fan,Organic Search,2023-10-21,2+ years,0
7050,4,United States,Americas,Casual Fan,Organic Search,2021-07-24,2+ years,0
7051,7,Japan,APAC,Casual Fan,App Store,2021-09-28,2+ years,1
7052,4,United States,Americas,Hardcore Fan,Direct,2021-07-01,2+ years,0
7053,7,Japan,APAC,Collector,Influencer,2025-09-29,0-6 months,1
7054,4,United States,Americas,Hardcore Fan,Direct,2022-09-23,2+ years,0
7055,4,United States,Americas,Hardcore Fan,Email,2022-07-28,2+ years,0
7056,1,United Kingdom,EMEA,Hardcore Fan,Influencer,2021-10-08,2+ years,1
7057,6,Mexico,Americas,Collector,Organic Search,2023-11-02,2+ years,1
7058,2,Spain,EMEA,Casual Fan,Direct,2024-07-12,1-2 years,0
7059,7,Japan,APAC,Collector,Direct,2022-09-29,2+ years,1
7060,7,Japan,APAC,Casual Fan,Organic Search,2023-05-08,2+ years,0
7061,8,Australia,APAC,Hardcore Fan,Paid Social,2021-10-20,2+ years,1
7062,4,United States,Americas,Hardcore Fan,Email,2021-05-17,2+ years,0
7063,5,Brazil,Americas,Hardcore Fan,Organic Search,2021-07-16,2+ years,1
7064,6,Mexico,Americas,Hardcore Fan,Paid Social,2025-09-15,0-6 months,1
7065,1,United Kingdom,EMEA,Hardcore Fan,Organic Search,2022-03-31,2+ years,0
7066,4,United States,Americas,Hardcore Fan,Paid Social,2024-01-24,1-2 years,1
7067,1,United Kingdom,EMEA,Casual Fan,App Store,2024-06-13,1-2 years,0
7068,4,United States,Americas,Casual Fan,Email,2022-09-05,2+ years,0
7069,1,United Kingdom,EMEA,Casual Fan,App Store,2021-01-07,2+ years,1
7070,1,United Kingdom,EMEA,Casual Fan,Influencer,2022-01-24,2+ years,0
7071,3,Germany,EMEA,Casual Fan,Paid Social,2024-02-23,1-2 years,1
7072,3,Germany,EMEA,Hardcore Fan,App Store,2024-05-17,1-2 years,1
7073,5,Brazil,Americas,Casual Fan,Paid Social,2025-10-05,0-6 months,0
7074,1,United Kingdom,EMEA,Hardcore Fan,Paid Social,2022-11-08,2+ years,0
7075,4,United States,Americas,Casual Fan,Paid Social,2024-08-08,1-2 years,1
7076,1,United Kingdom,EMEA,Casual Fan,Email,2023-09-14,2+ years,1
7077,4,United States,Americas,Casual Fan,Organic Search,2022-05-28,2+ years,0
7078,5,Brazil,Americas,Hardcore Fan,Influencer,2025-03-10,6-12 months,0
7079,4,United States,Americas,Hardcore Fan,Organic Search,2025-07-23,0-6 months,1
7080,5,Brazil,Americas,Casual Fan,Email,2022-12-19,2+ years,0
7081,2,Spain,EMEA,Casual Fan,Organic Search,2022-05-16,2+ years,1
7082,6,Mexico,Americas,Casual Fan,Direct,2022-03-20,2+ years,0
7083,3,Germany,EMEA,Hardcore Fan,Email,2022-04-21,2+ years,0
7084,4,United States,Americas,Hardcore Fan,Organic Search,2023-03-20,2+ years,1
7085,5,Brazil,Americas,Hardcore Fan,Email,2025-01-12,6-12 months,1
7086,1,United Kingdom,EMEA,Casual Fan,Paid Social,2023-06-23,2+ years,1
7087,5,Brazil,Americas,Casual Fan,App Store,2023-10-02,2+ years,0
7088,4,United States,Americas,Casual Fan,Direct,2021-02-10,2+ years,0
7089,2,Spain,EMEA,Casual Fan,Influencer,2022-01-14,2+ years,0
7090,1,United Kingdom,EMEA,Casual Fan,Organic Search,2021-04-03,2+ years,1
7091,1,United Kingdom,EMEA,Casual Fan,Organic Search,2024-02-02,1-2 years,0
7092,7,Japan,APAC,Casual Fan,Organic Search,2021-12-31,2+ years,1
7093,5,Brazil,Americas,Casual Fan,App Store,2024-06-18,1-2 years,0
7094,1,United Kingdom,EMEA,Casual Fan,Organic Search,2024-07-07,1-2 years,0
7095,2,Spain,EMEA,Hardcore Fan,Email,2024-04-08,1-2 years,0
7096,4,United States,Americas,Hardcore Fan,Organic Search,2021-09-15,2+ years,1
7097,7,Japan,APAC,Hardcore Fan,Direct,2024-06-27,1-2 years,0
7098,1,United Kingdom,EMEA,Casual Fan,Email,2023-09-17,2+ years,0
7099,2,Spain,EMEA,Hardcore Fan,Direct,2023-07-05,2+ years,1
7100,7,Japan,APAC,Collector,Organic Search,2021-01-30,2+ years,0
7101,1,United Kingdom,EMEA,Casual Fan,Email,2024-01-11,1-2 years,1
7102,2,Spain,EMEA,Casual Fan,Organic Search,2021-10-13,2+ years,0
7103,8,Australia,APAC,Collector,Paid Social,2021-12-21,2+ years,0
7104,4,United States,Americas,Collector,Organic Search,2024-07-04,1-2 years,1
7105,2,Spain,EMEA,Casual Fan,Email,2024-08-30,1-2 years,1
7106,1,United Kingdom,EMEA,Casual Fan,App Store,2022-06-19,2+ years,1
7107,1,United Kingdom,EMEA,Hardcore Fan,Email,2023-10-16,2+ years,0
7108,2,Spain,EMEA,Casual Fan,App Store,2023-07-30,2+ years,0
7109,7,Japan,APAC,Collector,Influencer,2024-06-09,1-2 years,0
7110,3,Germany,EMEA,Casual Fan,Direct,2024-11-30,1-2 years,0
7111,5,Brazil,Americas,Hardcore Fan,Influencer,2021-11-01,2+ years,0
7112,7,Japan,APAC,Casual Fan,Direct,2022-01-10,2+ years,0
7113,3,Germany,EMEA,Casual Fan,Organic Search,2021-09-10,2+ years,0
7114,1,United Kingdom,EMEA,Collector,Influencer,2025-05-18,6-12 months,1
7115,4,United States,Americas,Casual Fan,Paid Social,2023-03-27,2+ years,0
7116,7,Japan,APAC,Casual Fan,Paid Social,2023-12-04,2+ years,1
7117,6,Mexico,Americas,Hardcore Fan,Influencer,2025-05-06,6-12 months,1
7118,1,United Kingdom,EMEA,Casual Fan,Direct,2024-04-28,1-2 years,0
7119,5,Brazil,Americas,Casual Fan,Paid Social,2023-01-22,2+ years,1
7120,4,United States,Americas,Casual Fan,App Store,2025-10-09,0-6 months,1
7121,7,Japan,APAC,Hardcore Fan,Email,2023-06-12,2+ years,0
7122,1,United Kingdom,EMEA,Hardcore Fan,Organic Search,2022-07-07,2+ years,1
7123,4,United States,Americas,Collector,Email,2025-01-27,6-12 months,1
7124,7,Japan,APAC,Casual Fan,App Store,2022-10-29,2+ years,0
7125,3,Germany,EMEA,Casual Fan,Organic Search,2022-04-25,2+ years,0
7126,4,United States,Americas,Casual Fan,Paid Social,2022-09-02,2+ years,1
7127,1,United Kingdom,EMEA,Hardcore Fan,Paid Social,2021-02-26,2+ years,1
7128,2,Spain,EMEA,Hardcore Fan,Paid Social,2024-04-08,1-2 years,1
7129,2,Spain,EMEA,Collector,Organic Search,2023-02-19,2+ years,1
7130,8,Australia,APAC,Collector,Email,2025-01-29,6-12 months,0
7131,2,Spain,EMEA,Casual Fan,Influencer,2023-04-30,2+ years,0
7132,3,Germany,EMEA,Casual Fan,Paid Social,2022-07-26,2+ years,1
7133,5,Brazil,Americas,Hardcore Fan,Direct,2022-07-30,2+ years,1
7134,1,United Kingdom,EMEA,Casual Fan,Direct,2023-02-11,2+ years,1
7135,4,United States,Americas,Casual Fan,Organic Search,2025-02-14,6-12 months,0
7136,5,Brazil,Americas,Hardcore Fan,Direct,2024-12-17,1-2 years,1
7137,7,Japan,APAC,Casual Fan,Email,2024-11-27,1-2 years,0
7138,5,Brazil,Americas,Hardcore Fan,Paid Social,2025-09-22,0-6 months,1
7139,5,Brazil,Americas,Casual Fan,Organic Search,2023-07-30,2+ years,0
7140,1,United Kingdom,EMEA,Hardcore Fan,Email,2023-12-21,2+ years,1
7141,8,Australia,APAC,Casual Fan,Paid Social,2021-09-01,2+ years,0
7142,1,United Kingdom,EMEA,Hardcore Fan,Paid Social,2022-02-19,2+ years,1
7143,6,Mexico,Americas,Casual Fan,Direct,2024-04-15,1-2 years,1
7144,2,Spain,EMEA,Collector,Direct,2022-11-02,2+ years,1
7145,7,Japan,APAC,Casual Fan,App Store,2022-07-08,2+ years,0
7146,5,Brazil,Americas,Collector,Organic Search,2023-08-02,2+ years,0
7147,6,Mexico,Americas,Casual Fan,App Store,2023-11-10,2+ years,1
7148,2,Spain,EMEA,Collector,Direct,2024-02-10,1-2 years,1
7149,3,Germany,EMEA,Hardcore Fan,Direct,2022-12-25,2+ years,1
7150,4,United States,Americas,Hardcore Fan,App Store,2022-08-31,2+ years,1
7151,6,Mexico,Americas,Casual Fan,Organic Search,2025-04-05,6-12 months,0
7152,1,United Kingdom,EMEA,Casual Fan,Influencer,2023-11-06,2+ years,0
7153,8,Australia,APAC,Hardcore Fan,Direct,2022-05-22,2+ years,1
7154,7,Japan,APAC,Hardcore Fan,Organic Search,2023-12-17,2+ years,1
7155,2,Spain,EMEA,Casual Fan,Influencer,2024-07-22,1-2 years,0
7156,7,Japan,APAC,Hardcore Fan,Paid Social,2023-01-05,2+ years,0
7157,4,United States,Americas,Hardcore Fan,Paid Social,2023-11-03,2+ years,1
7158,3,Germany,EMEA,Casual Fan,Direct,2025-11-18,0-6 months,0
7159,2,Spain,EMEA,Casual Fan,Email,2025-04-05,6-12 months,0
7160,4,United States,Americas,Casual Fan,Organic Search,2021-12-29,2+ years,1
7161,5,Brazil,Americas,Casual Fan,Direct,2024-09-17,1-2 years,1
7162,3,Germany,EMEA,Casual Fan,Paid Social,2024-12-27,1-2 years,0
7163,5,Brazil,Americas,Hardcore Fan,Email,2024-06-16,1-2 years,1
7164,5,Brazil,Americas,Casual Fan,Paid Social,2024-12-04,1-2 years,0
7165,5,Brazil,Americas,Casual Fan,Email,2022-07-01,2+ years,0
7166,1,United Kingdom,EMEA,Casual Fan,Paid Social,2024-04-07,1-2 years,0
7167,7,Japan,APAC,Collector,Email,2024-11-18,1-2 years,1
7168,3,Germany,EMEA,Casual Fan,Organic Search,2021-11-28,2+ years,0
7169,2,Spain,EMEA,Collector,Paid Social,2023-10-11,2+ years,1
7170,2,Spain,EMEA,Casual Fan,Organic Search,2024-07-27,1-2 years,0
7171,4,United States,Americas,Casual Fan,Paid Social,2024-05-09,1-2 years,1
7172,7,Japan,APAC,Hardcore Fan,Influencer,2023-10-13,2+ years,1
7173,3,Germany,EMEA,Casual Fan,Email,2023-04-17,2+ years,0
7174,6,Mexico,Americas,Hardcore Fan,Email,2024-03-28,1-2 years,0
7175,1,United Kingdom,EMEA,Hardcore Fan,Direct,2025-01-01,6-12 months,0
7176,3,Germany,EMEA,Casual Fan,Influencer,2024-08-30,1-2 years,0
7177,8,Australia,APAC,Hardcore Fan,Paid Social,2021-04-08,2+ years,1
7178,6,Mexico,Americas,Hardcore Fan,Influencer,2021-01-11,2+ years,0
7179,2,Spain,EMEA,Hardcore Fan,Paid Social,2025-05-28,6-12 months,1
7180,4,United States,Americas,Casual Fan,Influencer,2021-08-02,2+ years,0
7181,2,Spain,EMEA,Casual Fan,Influencer,2021-02-09,2+ years,0
7182,3,Germany,EMEA,Hardcore Fan,Direct,2022-03-15,2+ years,1
7183,6,Mexico,Americas,Collector,Paid Social,2022-03-07,2+ years,1
7184,6,Mexico,Americas,Casual Fan,Email,2023-09-15,2+ years,0
7185,2,Spain,EMEA,Casual Fan,Influencer,2022-03-21,2+ years,0
7186,7,Japan,APAC,Casual Fan,Organic Search,2025-10-10,0-6 months,0
7187,4,United States,Americas,Hardcore Fan,Influencer,2025-05-29,6-12 months,0
7188,3,Germany,EMEA,Casual Fan,Organic Search,2021-02-03,2+ years,0
7189,4,United States,Americas,Casual Fan,Influencer,2021-03-03,2+ years,0
7190,4,United States,Americas,Hardcore Fan,App Store,2024-01-08,1-2 years,1
7191,4,United States,Americas,Casual Fan,Email,2023-09-05,2+ years,1
7192,4,United States,Americas,Casual Fan,Direct,2024-04-11,1-2 years,0
7193,4,United States,Americas,Casual Fan,Organic Search,2022-08-30,2+ years,0
7194,1,United Kingdom,EMEA,Casual Fan,Influencer,2025-03-21,6-12 months,1
7195,6,Mexico,Americas,Casual Fan,Direct,2021-11-03,2+ years,1
7196,4,United States,Americas,Casual Fan,Organic Search,2021-12-19,2+ years,1
7197,1,United Kingdom,EMEA,Casual Fan,Email,2023-12-18,2+ years,1
7198,6,Mexico,Americas,Hardcore Fan,Influencer,2021-05-03,2+ years,1
7199,7,Japan,APAC,Casual Fan,Organic Search,2025-06-17,6-12 months,0
7200,8,Australia,APAC,Hardcore Fan,Direct,2021-01-03,2+ years,1
7201,3,Germany,EMEA,Casual Fan,Influencer,2023-11-13,2+ years,0
7202,1,United Kingdom,EMEA,Casual Fan,Paid Social,2024-07-13,1-2 years,1
7203,4,United States,Americas,Hardcore Fan,Email,2023-03-26,2+ years,0
7204,1,United Kingdom,EMEA,Casual Fan,Paid Social,2025-12-29,0-6 months,0
7205,7,Japan,APAC,Casual Fan,Organic Search,2023-12-08,2+ years,0
7206,1,United Kingdom,EMEA,Hardcore Fan,App Store,2021-09-10,2+ years,1
7207,2,Spain,EMEA,Hardcore Fan,Direct,2025-04-21,6-12 months,1
7208,3,Germany,EMEA,Hardcore Fan,Organic Search,2024-01-17,1-2 years,0
7209,3,Germany,EMEA,Hardcore Fan,App Store,2021-11-06,2+ years,0
7210,6,Mexico,Americas,Casual Fan,Organic Search,2022-06-16,2+ years,1
7211,3,Germany,EMEA,Collector,App Store,2025-07-25,0-6 months,1
7212,1,United Kingdom,EMEA,Collector,Email,2021-07-16,2+ years,0
7213,2,Spain,EMEA,Casual Fan,Email,2024-11-11,1-2 years,1
7214,4,United States,Americas,Hardcore Fan,Email,2023-07-25,2+ years,1
7215,1,United Kingdom,EMEA,Casual Fan,Organic Search,2024-06-28,1-2 years,1
7216,4,United States,Americas,Hardcore Fan,Direct,2022-04-08,2+ years,1
7217,4,United States,Americas,Casual Fan,Direct,2024-11-03,1-2 years,1
7218,5,Brazil,Americas,Casual Fan,Direct,2025-09-30,0-6 months,0
7219,7,Japan,APAC,Casual Fan,App Store,2021-01-23,2+ years,0
7220,7,Japan,APAC,Casual Fan,Email,2022-12-01,2+ years,0
7221,8,Australia,APAC,Casual Fan,Direct,2025-12-27,0-6 months,1
7222,2,Spain,EMEA,Casual Fan,Paid Social,2024-04-05,1-2 years,1
7223,1,United Kingdom,EMEA,Hardcore Fan,App Store,2024-04-06,1-2 years,1
7224,2,Spain,EMEA,Hardcore Fan,App Store,2025-05-03,6-12 months,0
7225,7,Japan,APAC,Casual Fan,Email,2024-05-21,1-2 years,0
7226,8,Australia,APAC,Collector,Direct,2023-03-24,2+ years,1
7227,7,Japan,APAC,Casual Fan,Paid Social,2021-02-06,2+ years,1
7228,1,United Kingdom,EMEA,Hardcore Fan,Direct,2022-02-10,2+ years,0
7229,8,Australia,APAC,Casual Fan,Organic Search,2023-12-12,2+ years,0
7230,3,Germany,EMEA,Hardcore Fan,App Store,2025-11-29,0-6 months,1
7231,1,United Kingdom,EMEA,Hardcore Fan,Direct,2023-11-04,2+ years,1
7232,3,Germany,EMEA,Casual Fan,App Store,2022-06-14,2+ years,0
7233,1,United Kingdom,EMEA,Casual Fan,Influencer,2024-02-12,1-2 years,1
7234,4,United States,Americas,Collector,Organic Search,2024-04-16,1-2 years,1
7235,2,Spain,EMEA,Hardcore Fan,Email,2023-02-22,2+ years,1
7236,3,Germany,EMEA,Casual Fan,Email,2023-03-16,2+ years,0
7237,4,United States,Americas,Casual Fan,Influencer,2022-01-21,2+ years,0
7238,7,Japan,APAC,Hardcore Fan,Email,2021-04-29,2+ years,1
7239,5,Brazil,Americas,Collector,Email,2024-09-15,1-2 years,0
7240,3,Germany,EMEA,Casual Fan,Direct,2025-05-24,6-12 months,0
7241,6,Mexico,Americas,Collector,Direct,2021-02-01,2+ years,1
7242,7,Japan,APAC,Casual Fan,Direct,2023-01-18,2+ years,0
7243,1,United Kingdom,EMEA,Collector,Email,2023-01-23,2+ years,1
7244,4,United States,Americas,Hardcore Fan,Direct,2024-08-29,1-2 years,1
7245,2,Spain,EMEA,Casual Fan,App Store,2021-09-03,2+ years,1
